brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2552723sw?$tn$,nude,skin,1,#F3DFD7,0.8980392157,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548672sw?$50px$,nude,skin,1.5,#F2DBD3,0.8882352941,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548673sw?$50px$,nude,skin,2,#E8C5B9,0.8176470588,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548674sw?$50px$,nude,skin,2.5,#E3BDAC,0.7823529412,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548675sw?$50px$,nude,skin,3,#DEB8A5,0.7588235294,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548676sw?$50px$,nude,skin,3.5,#D2A890,0.6941176471,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548677sw?$50px$,nude,skin,4,#D7A98F,0.7019607843,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548678sw?$50px$,nude,skin,5,#D69F7F,0.668627451,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548680sw?$50px$,nude,skin,6,#CC8D6C,0.6117647059,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548682sw?$50px$,nude,skin,7,#C08560,0.5647058824,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548683sw?$50px$,nude,skin,7.5,#AC7446,0.4745098039,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548685sw?$50px$,nude,skin,8,#976136,0.4019607843,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2548686sw?$50px$,nude,skin,9,#8B542B,0.3568627451,nude
NUDESTIX,Tinted Cover Foundation,https://www.ulta.com/tinted-cover-foundation?productId=pimprod2008837,https://images.ulta.com/is/image/Ulta/2553635sw?$50px$,nude,skin,10,#824E2B,0.3392156863,nude
Perricone MD,No Makeup Foundation Serum Broad Spectrum SPF 20,https://www.ulta.com/no-makeup-foundation-serum-broad-spectrum-spf-20?productId=pimprod2004410,https://images.ulta.com/is/image/Ulta/2542457sw?$tn$,nude,skin,NA,#C49268,0.5882352941,nude
Too Faced,Born This Way Matte 24 Hour Foundation,https://www.ulta.com/born-this-way-matte-24-hour-foundation?productId=pimprod2016800,https://images.ulta.com/is/image/Ulta/2566720sw?$tn$,natural beige,"skin, color",NA,#D58352,0.5784313725,natural
Too Faced,Born This Way Matte 24 Hour Foundation,https://www.ulta.com/born-this-way-matte-24-hour-foundation?productId=pimprod2016800,https://images.ulta.com/is/image/Ulta/2566716sw?$50px$,nude,skin,NA,#DAA27B,0.668627451,nude
Too Faced,Born This Way Matte 24 Hour Foundation,https://www.ulta.com/born-this-way-matte-24-hour-foundation?productId=pimprod2016800,https://images.ulta.com/is/image/Ulta/2566717sw?$50px$,warm nude,"descriptor, skin",NA,#DC976D,0.6450980392,nude
Antonym,Skin Esteem Organic Liquid Foundation,https://www.sephora.com/product/skin-esteem-organic-liquid-foundation-P425621?icid2=products%20grid:p425621,/productimages/sku/s2016285+sw.jpg,nude,skin,NA,#CDB0A0,0.7156862745,nude
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,https://www.sephora.com/product/crema-nuda-supreme-glow-reviving-tinted-moisturizer-P419856?icid2=products%20grid:p419856,/productimages/sku/s1957554+sw.jpg,nude glow,"skin, misc",1,#CC9484,0.6588235294,nude
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,https://www.sephora.com/product/crema-nuda-supreme-glow-reviving-tinted-moisturizer-P419856?icid2=products%20grid:p419856,/productimages/sku/s1957554+sw.jpg,nude glow,"skin, misc",1,#CC9484,0.6588235294,nude
bareMinerals,BAREPRO Longwear Powder Foundation ,https://www.sephora.com/product/barepro-performance-wear-powder-foundation-P410543?icid2=products%20grid:p410543,/productimages/sku/s1848068+sw.jpg,golden nude,"descriptor, skin",13,#F3CDA0,0.7901960784,nude
