brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Bobbi Brown,Skin Weightless Powder Foundation,porcelain,0,0.8215686275,#F3C9B0,TRUE,0,1
Charlotte Tilbury,Magic Foundation,porcelain,0,0.731372549,#D9AE9C,TRUE,0,2
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,ivory,N00,0.831372549,#F5D8B3,TRUE,0,3
HOURGLASS,Veil Fluid Makeup,porcelain,No. 0,0.8176470588,#F6D3AB,TRUE,0,4
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0,0.9490196078,#F2F2F2,TRUE,0,5
TOM FORD,Traceless Foundation Stick,pearl,0,0.9117647059,#FDE5D4,TRUE,0,6
TOM FORD,Traceless Soft Matte Foundation,pearl,0,0.8509803922,#F0D8C2,TRUE,0,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.1,0.8137254902,#F8CDA7,TRUE,0.1,8
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,NA,0.1,0.9098039216,#F9E4D7,TRUE,0.1,9
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.1,0.7568627451,#D4C2AE,TRUE,0.1,5
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.1,0.9196078431,#F5E9E0,TRUE,0.1,10
Smashbox,Primer + Foundation Customizable Set,NA,0.1,0.8,#E9C9AF,TRUE,0.1,11
TOM FORD,Traceless Foundation Stick,cameo,0.1,0.8843137255,#F5E2CE,TRUE,0.1,6
TOM FORD,Traceless Soft Matte Foundation,cameo,0.1,0.8470588235,#EED8C2,TRUE,0.1,7
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,NA,0.2,0.7588235294,#F0BE93,TRUE,0.2,8
Makeup Revolution,Conceal & Define Full Coverage Foundation,NA,F0.2,0.7745098039,#E1CDAA,TRUE,0.2,5
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,NA,P0.2,0.9352941176,#F9EFE4,TRUE,0.2,10
Smashbox,Primer + Foundation Customizable Set,NA,0.2,0.7431372549,#E4B697,TRUE,0.2,11
Clinique,Beyond Perfecting Powder Foundation + Concealer,dune,0.25,0.9176470588,#FBEED9,NA,0.25,NA
Ofra Cosmetics,Absolute Cover Foundation,NA,0.25,0.6470588235,#C9AD81,TRUE,0.25,12
