brand,product,url,imgSrc,name,category,specific,hex,lightness,base,namingScheme
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528173sw?$tn$,shell,gem,1W1,#EFCBA4,0.7901960784,shell,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529033sw?$50px$,linen,textile,1N1,#F3CEB0,0.8215686275,linen,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549910sw?$50px$,alabaster,gem,1C1,#F2CBB4,0.8274509804,alabaster,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528170sw?$50px$,porcelain,misc,1N2,#F6C8A7,0.8098039216,porcelain,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529037sw?$50px$,ivory,gem,1C2,#F0C4AB,0.8058823529,ivory,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528172sw?$50px$,sand,rock,1W2,#F2C79D,0.7823529412,sand,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529036sw?$50px$,cashmere,textile,1N3,#DFB38A,0.7078431373,cashmere,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529034sw?$50px$,vanilla,food,2W1,#EEC29C,0.7725490196,vanilla,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549902sw?$50px$,bisque,food,2C1,#EAB498,0.7568627451,bisque,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549903sw?$50px$,cashew,food,2N1,#DDAD8C,0.7078431373,cashew,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549913sw?$50px$,teak,wood,2C2,#E5AE8F,0.7294117647,teak,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549907sw?$50px$,desert,rock,2N2,#E0AE8C,0.7137254902,desert,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528175sw?$50px$,buff,color,2W2,#E1B186,0.7039215686,buff,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529035sw?$50px$,buttercup,plant,3W1,#E2AD7F,0.6921568627,buttercup,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549922sw?$50px$,camel,color,3N1,#D59C79,0.6549019608,camel,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528177sw?$50px$,noisette,food,3N2,#D49971,0.637254902,noisette,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549915sw?$50px$,pebble,rock,3C1,#D8A284,0.6823529412,pebble,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529029sw?$50px$,driftwood,wood,3W2,#DBA679,0.6666666667,driftwood,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549916sw?$50px$,cassava,plant,3C2,#D29B7B,0.6529411765,cassava,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549920sw?$50px$,khaki,textile,3N3,#CE9770,0.6235294118,khaki,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528167sw?$50px$,olive,color,3W3,#CC9A70,0.61960784310000006,olive,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549909sw?$50px$,hazel,plant,4W1,#C38353,0.5450980392,hazel,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528171sw?$50px$,fawn,color,4C1,#AD6D4B,0.4862745098,fawn,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528168sw?$50px$,bamboo,wood,4W2,#AA6D46,0.4705882353,bamboo,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528166sw?$50px$,tan,skin,4N1,#AA7555,0.5,tan,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528169sw?$50px$,café,misc,4N2,#A56949,0.4666666667,café,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549919sw?$50px$,sepia,color,4C2,#A36446,0.4568627451,sepia,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528176sw?$50px$,amber,gem,5W1,#A0633F,0.437254902,amber,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528174sw?$50px$,maple,wood,5W2,#965837,0.4019607843,maple,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549911sw?$50px$,terracotta,color,5N1,#865034,0.3647058824,terracotta,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549905sw?$50px$,cardamom,food,5W3,#79442C,0.3235294118,cardamom,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549914sw?$50px$,coconut,food,5W4,#754127,0.3058823529,coconut,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529032sw?$50px$,walnut,wood,5C1,#6C3923,0.2803921569,walnut,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549917sw?$50px$,mocha,drink,5N2,#74462C,0.3137254902,mocha,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549921sw?$50px$,clove,food,6W1,#7B472E,0.331372549,clove,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549924sw?$50px$,truffle,food,6W2,#713E2A,0.3039215686,truffle,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528178sw?$50px$,sienna,rock,6N2,#663727,0.2764705882,sienna,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529030sw?$50px$,espresso,drink,6N1,#643927,0.2725490196,espresso,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528179sw?$50px$,mahogany,wood,6C1,#5B332A,0.2607843137,mahogany,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2549918sw?$50px$,tonka,location,6W3,#5B3429,0.2588235294,tonka,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2528180sw?$50px$,cacao,food,6C2,#4F322C,0.2411764706,cacao,variety
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,https://images.ulta.com/is/image/Ulta/2529031sw?$50px$,chestnut,food,6C3,#472D29,0.2196078431,chestnut,variety
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547818sw?$tn$,fair cool,descriptor,Shade 1,#EACFB7,0.8176470588,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547823sw?$50px$,light warm,descriptor,Shade 2,#F7D3B3,0.8352941176,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547822sw?$50px$,light neutral warm,descriptor,Shade 3,#E9C7A4,0.7784313725,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547831sw?$50px$,medium neutral,descriptor,Shade 4,#D0B099,0.7078431373,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547830sw?$50px$,shade   medium neutral warm,"NA",5,#DCB590,0.7137254902,shade,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547829sw?$50px$,medium warm,descriptor,Shade 6,#D5A575,0.6470588235,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547826sw?$50px$,medium-tan neutral,descriptor,Shade 7,#C88C3F,0.5156862745,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547838sw?$50px$,tan warm,skin,Shade 8,#AB6939,0.4470588235,tan,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547827sw?$50px$,deep neutral,descriptor,Shade 9,#8D5D35,0.3803921569,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547840sw?$50px$,deep warm,descriptor,Shade 10,#914D26,0.3588235294,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547836sw?$50px$,dark neutral,descriptor,Shade 11,#6E452B,0.3,,NA
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,https://www.ulta.com/hello-happy-flawless-brightening-foundation-spf-15?productId=pimprod2007275,https://images.ulta.com/is/image/Ulta/2547828sw?$50px$,dark warm,descriptor,Shade 12,#83503F,0.3803921569,,NA
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,https://www.ulta.com/hello-happy-velvet-powder-foundation?productId=pimprod2007277,https://images.ulta.com/is/image/Ulta/2546882sw?$tn$,fair cool,descriptor,Shade 1,#E3CFB7,0.8039215686,,NA
